empresa;descrição;cidade;protocolo;created_at;status_os;data_encerramento_prot;OLT;Regional;Motivo;Motivo do Cancelamento;Setor que cancelou
Horizon Telecom;Instalação Nova;Americana;20268737220;05/01/2026 09:29:31;Cancelado;08/01/2026 19:29:31;OLT-NOKIA-9;Americana;Instalação Nova;Problemas Técnicos;Retenção
Horizon Telecom;Reparo de Fibra;Valinhos;20269224648;12/01/2026 04:52:17;Cancelado;14/01/2026 15:52:17;OLT-HUAWEI-2;Valinhos;Reparo de Fibra;Preço Elevado;Retenção
Conecta+;Suporte Wi-Fi;Paulínia;20268594471;11/01/2026 17:25:37;Cancelado;19/01/2026 01:25:37;OLT-NOKIA-6;Paulínia;Suporte Wi-Fi;Mudança de Cidade;Financeiro
Horizon Telecom;Mudança de Endereço;Paulínia;20269544497;06/01/2026 03:14:21;Cancelado;09/01/2026 15:14:21;OLT-ZTE-8;Paulínia;Mudança de Endereço;Troca por Concorrente;Retenção
FiberTech;Instalação Nova;Americana;20266821097;12/02/2026 13:54:05;Cancelado;16/02/2026 17:54:05;OLT-NOKIA-10;Americana;Instalação Nova;Problemas Técnicos;Retenção
Conecta+;Mudança de Endereço;Campinas;20262605931;16/01/2026 06:31:27;Cancelado;17/01/2026 17:31:27;OLT-ZTE-1;Campinas;Mudança de Endereço;Troca por Concorrente;Retenção
FiberTech;Instalação Nova;Valinhos;20264719303;05/02/2026 17:44:42;Cancelado;08/02/2026 00:44:42;OLT-ZTE-2;Valinhos;Instalação Nova;Problemas Técnicos;Financeiro
Conecta+;Suporte Wi-Fi;Paulínia;20263317438;10/01/2026 07:57:03;Cancelado;16/01/2026 19:57:03;OLT-ZTE-1;Paulínia;Suporte Wi-Fi;Preço Elevado;Telemarketing
FiberTech;Suporte Wi-Fi;Valinhos;20265013601;27/01/2026 14:23:32;Cancelado;01/02/2026 22:23:32;OLT-NOKIA-5;Valinhos;Suporte Wi-Fi;Troca por Concorrente;Telemarketing
FiberTech;Instalação Nova;Campinas;20264167002;28/01/2026 11:17:56;Cancelado;29/01/2026 20:17:56;OLT-ZTE-9;Campinas;Instalação Nova;Preço Elevado;Telemarketing
Horizon Telecom;Reparo de Fibra;Sumaré;20266131043;26/01/2026 16:59:55;Cancelado;30/01/2026 23:59:55;OLT-NOKIA-3;Sumaré;Reparo de Fibra;Preço Elevado;Financeiro
Conecta+;Mudança de Endereço;Hortolândia;20264225781;17/01/2026 15:54:30;Cancelado;17/01/2026 17:54:30;OLT-HUAWEI-5;Hortolândia;Mudança de Endereço;Preço Elevado;Financeiro
Conecta+;Suporte Wi-Fi;Campinas;20264127019;01/01/2026 11:24:58;Cancelado;06/01/2026 20:24:58;OLT-ZTE-7;Campinas;Suporte Wi-Fi;Mudança de Cidade;Retenção
FiberTech;Suporte Wi-Fi;Hortolândia;20268557688;30/12/2025 20:11:13;Cancelado;07/01/2026 03:11:13;OLT-NOKIA-3;Hortolândia;Suporte Wi-Fi;Mudança de Cidade;Financeiro
Conecta+;Instalação Nova;Hortolândia;20261277021;01/01/2026 23:29:11;Cancelado;04/01/2026 05:29:11;OLT-ZTE-3;Hortolândia;Instalação Nova;Problemas Técnicos;Retenção
FiberTech;Reparo de Fibra;Paulínia;20266653162;23/01/2026 22:18:17;Cancelado;29/01/2026 04:18:17;OLT-HUAWEI-1;Paulínia;Reparo de Fibra;Problemas Técnicos;Retenção
Horizon Telecom;Suporte Wi-Fi;Americana;20263571344;28/01/2026 05:57:48;Cancelado;02/02/2026 16:57:48;OLT-HUAWEI-1;Americana;Suporte Wi-Fi;Troca por Concorrente;Telemarketing
Conecta+;Troca de Tecnologia;Campinas;20265450133;17/01/2026 08:47:29;Cancelado;19/01/2026 09:47:29;OLT-NOKIA-10;Campinas;Troca de Tecnologia;Problemas Técnicos;Financeiro
FiberTech;Instalação Nova;Paulínia;20268254992;16/01/2026 18:24:53;Cancelado;23/01/2026 05:24:53;OLT-HUAWEI-8;Paulínia;Instalação Nova;Mudança de Cidade;Financeiro
Conecta+;Suporte Wi-Fi;Paulínia;20268949541;15/01/2026 08:19:09;Cancelado;18/01/2026 18:19:09;OLT-NOKIA-7;Paulínia;Suporte Wi-Fi;Mudança de Cidade;Financeiro
FiberTech;Reparo de Fibra;Campinas;20264980516;02/02/2026 00:12:09;Cancelado;05/02/2026 10:12:09;OLT-ZTE-3;Campinas;Reparo de Fibra;Troca por Concorrente;Telemarketing
FiberTech;Troca de Tecnologia;Americana;20269166429;19/01/2026 06:44:29;Cancelado;20/01/2026 06:44:29;OLT-ZTE-1;Americana;Troca de Tecnologia;Problemas Técnicos;Retenção
FiberTech;Suporte Wi-Fi;Campinas;20264796083;06/01/2026 07:20:06;Cancelado;08/01/2026 11:20:06;OLT-NOKIA-8;Campinas;Suporte Wi-Fi;Mudança de Cidade;Telemarketing
Conecta+;Mudança de Endereço;Americana;20269493379;27/01/2026 12:52:03;Cancelado;01/02/2026 00:52:03;OLT-HUAWEI-3;Americana;Mudança de Endereço;Troca por Concorrente;Financeiro
Horizon Telecom;Reparo de Fibra;Hortolândia;20265242903;10/02/2026 22:16:05;Cancelado;15/02/2026 09:16:05;OLT-HUAWEI-5;Hortolândia;Reparo de Fibra;Problemas Técnicos;Telemarketing
Horizon Telecom;Instalação Nova;Paulínia;20265413473;02/01/2026 18:14:56;Cancelado;07/01/2026 18:14:56;OLT-HUAWEI-10;Paulínia;Instalação Nova;Mudança de Cidade;Financeiro
FiberTech;Reparo de Fibra;Sumaré;20262445377;14/02/2026 07:38:43;Cancelado;17/02/2026 18:38:43;OLT-HUAWEI-4;Sumaré;Reparo de Fibra;Mudança de Cidade;Retenção
FiberTech;Suporte Wi-Fi;Americana;20264156289;06/02/2026 03:02:19;Cancelado;09/02/2026 04:02:19;OLT-ZTE-6;Americana;Suporte Wi-Fi;Problemas Técnicos;Financeiro
FiberTech;Suporte Wi-Fi;Campinas;20269435604;14/02/2026 01:05:38;Cancelado;16/02/2026 05:05:38;OLT-NOKIA-2;Campinas;Suporte Wi-Fi;Mudança de Cidade;Financeiro
Conecta+;Reparo de Fibra;Campinas;20262200972;27/01/2026 22:11:47;Cancelado;28/01/2026 08:11:47;OLT-ZTE-10;Campinas;Reparo de Fibra;Mudança de Cidade;Financeiro
Horizon Telecom;Instalação Nova;Hortolândia;20266172766;17/02/2026 16:45:22;Cancelado;18/02/2026 21:45:22;OLT-NOKIA-8;Hortolândia;Instalação Nova;Troca por Concorrente;Telemarketing
Conecta+;Suporte Wi-Fi;Campinas;20263870920;13/01/2026 02:10:38;Cancelado;19/01/2026 05:10:38;OLT-HUAWEI-7;Campinas;Suporte Wi-Fi;Problemas Técnicos;Retenção
Horizon Telecom;Instalação Nova;Hortolândia;20265742646;08/02/2026 21:15:14;Cancelado;15/02/2026 05:15:14;OLT-HUAWEI-2;Hortolândia;Instalação Nova;Preço Elevado;Financeiro
Conecta+;Reparo de Fibra;Americana;20264066972;21/01/2026 10:17:37;Cancelado;21/01/2026 19:17:37;OLT-NOKIA-6;Americana;Reparo de Fibra;Preço Elevado;Retenção
FiberTech;Reparo de Fibra;Valinhos;20267442630;02/01/2026 15:00:08;Cancelado;06/01/2026 15:00:08;OLT-ZTE-4;Valinhos;Reparo de Fibra;Mudança de Cidade;Telemarketing
FiberTech;Instalação Nova;Paulínia;20261421495;14/01/2026 03:57:50;Cancelado;19/01/2026 07:57:50;OLT-NOKIA-10;Paulínia;Instalação Nova;Preço Elevado;Retenção
Conecta+;Troca de Tecnologia;Campinas;20262745680;15/01/2026 22:57:41;Cancelado;16/01/2026 07:57:41;OLT-HUAWEI-10;Campinas;Troca de Tecnologia;Mudança de Cidade;Telemarketing
Conecta+;Mudança de Endereço;Paulínia;20261682762;04/02/2026 08:03:51;Cancelado;07/02/2026 13:03:51;OLT-ZTE-9;Paulínia;Mudança de Endereço;Preço Elevado;Telemarketing
FiberTech;Suporte Wi-Fi;Valinhos;20267008033;09/01/2026 22:41:52;Cancelado;12/01/2026 08:41:52;OLT-NOKIA-7;Valinhos;Suporte Wi-Fi;Troca por Concorrente;Retenção
Conecta+;Troca de Tecnologia;Hortolândia;20262682020;21/01/2026 06:29:10;Cancelado;24/01/2026 13:29:10;OLT-ZTE-10;Hortolândia;Troca de Tecnologia;Problemas Técnicos;Telemarketing
Conecta+;Reparo de Fibra;Paulínia;20264720910;28/12/2025 12:41:31;Cancelado;02/01/2026 14:41:31;OLT-NOKIA-3;Paulínia;Reparo de Fibra;Troca por Concorrente;Financeiro
FiberTech;Suporte Wi-Fi;Hortolândia;20262808683;22/01/2026 16:29:33;Cancelado;23/01/2026 19:29:33;OLT-HUAWEI-5;Hortolândia;Suporte Wi-Fi;Problemas Técnicos;Financeiro
FiberTech;Mudança de Endereço;Valinhos;20262276770;25/01/2026 04:25:26;Cancelado;26/01/2026 16:25:26;OLT-ZTE-8;Valinhos;Mudança de Endereço;Problemas Técnicos;Telemarketing
Horizon Telecom;Troca de Tecnologia;Americana;20261273978;17/01/2026 06:16:43;Cancelado;20/01/2026 16:16:43;OLT-NOKIA-10;Americana;Troca de Tecnologia;Mudança de Cidade;Retenção
Horizon Telecom;Suporte Wi-Fi;Paulínia;20263648479;27/12/2025 22:23:33;Cancelado;03/01/2026 09:23:33;OLT-HUAWEI-6;Paulínia;Suporte Wi-Fi;Troca por Concorrente;Telemarketing
Conecta+;Instalação Nova;Americana;20262537117;02/01/2026 18:33:17;Cancelado;10/01/2026 06:33:17;OLT-NOKIA-6;Americana;Instalação Nova;Mudança de Cidade;Telemarketing
FiberTech;Instalação Nova;Americana;20262049169;10/01/2026 14:23:32;Cancelado;14/01/2026 14:23:32;OLT-NOKIA-8;Americana;Instalação Nova;Troca por Concorrente;Comercial
Conecta+;Mudança de Endereço;Hortolândia;20263460447;04/01/2026 14:07:04;Cancelado;04/01/2026 18:07:04;OLT-ZTE-10;Hortolândia;Mudança de Endereço;Mudança de Cidade;Telemarketing
Conecta+;Troca de Tecnologia;Valinhos;20263016584;08/02/2026 04:41:47;Cancelado;10/02/2026 04:41:47;OLT-HUAWEI-2;Valinhos;Troca de Tecnologia;Mudança de Cidade;Financeiro
Conecta+;Suporte Wi-Fi;Valinhos;20262148538;25/01/2026 05:24:34;Cancelado;30/01/2026 08:24:34;OLT-HUAWEI-1;Valinhos;Suporte Wi-Fi;Mudança de Cidade;Retenção
Conecta+;Troca de Tecnologia;Campinas;20268112533;16/01/2026 21:51:44;Cancelado;23/01/2026 21:51:44;OLT-ZTE-5;Campinas;Troca de Tecnologia;Problemas Técnicos;Financeiro
Horizon Telecom;Reparo de Fibra;Valinhos;20266216070;01/02/2026 14:11:50;Cancelado;03/02/2026 01:11:50;OLT-ZTE-5;Valinhos;Reparo de Fibra;Mudança de Cidade;Financeiro
FiberTech;Troca de Tecnologia;Americana;20266866570;02/01/2026 17:31:57;Cancelado;10/01/2026 00:31:57;OLT-NOKIA-6;Americana;Troca de Tecnologia;Troca por Concorrente;Financeiro
FiberTech;Troca de Tecnologia;Hortolândia;20264080184;21/01/2026 21:42:19;Cancelado;25/01/2026 09:42:19;OLT-ZTE-8;Hortolândia;Troca de Tecnologia;Preço Elevado;Financeiro
FiberTech;Suporte Wi-Fi;Americana;20265763712;09/01/2026 11:31:20;Cancelado;15/01/2026 12:31:20;OLT-ZTE-6;Americana;Suporte Wi-Fi;Preço Elevado;Financeiro
Conecta+;Instalação Nova;Sumaré;20265904868;05/01/2026 13:55:50;Cancelado;11/01/2026 19:55:50;OLT-NOKIA-3;Sumaré;Instalação Nova;Mudança de Cidade;Retenção
Horizon Telecom;Mudança de Endereço;Campinas;20261831545;15/01/2026 13:15:54;Cancelado;16/01/2026 23:15:54;OLT-ZTE-2;Campinas;Mudança de Endereço;Problemas Técnicos;Retenção
FiberTech;Reparo de Fibra;Paulínia;20267808329;10/01/2026 05:03:25;Cancelado;17/01/2026 14:03:25;OLT-NOKIA-3;Paulínia;Reparo de Fibra;Problemas Técnicos;Telemarketing
FiberTech;Reparo de Fibra;Hortolândia;20269160778;06/01/2026 22:07:13;Cancelado;09/01/2026 07:07:13;OLT-HUAWEI-7;Hortolândia;Reparo de Fibra;Problemas Técnicos;Retenção
FiberTech;Suporte Wi-Fi;Campinas;20262470793;25/01/2026 11:54:32;Cancelado;28/01/2026 15:54:32;OLT-NOKIA-7;Campinas;Suporte Wi-Fi;Mudança de Cidade;Comercial
FiberTech;Suporte Wi-Fi;Sumaré;20269257015;10/01/2026 21:44:58;Cancelado;13/01/2026 05:44:58;OLT-NOKIA-7;Sumaré;Suporte Wi-Fi;Troca por Concorrente;Financeiro
Conecta+;Mudança de Endereço;Americana;20267829148;30/12/2025 11:59:55;Cancelado;03/01/2026 20:59:55;OLT-NOKIA-9;Americana;Mudança de Endereço;Troca por Concorrente;Telemarketing
FiberTech;Suporte Wi-Fi;Valinhos;20269169761;27/12/2025 21:02:16;Cancelado;02/01/2026 05:02:16;OLT-HUAWEI-2;Valinhos;Suporte Wi-Fi;Troca por Concorrente;Comercial
Conecta+;Troca de Tecnologia;Sumaré;20264950910;10/02/2026 02:54:56;Cancelado;13/02/2026 08:54:56;OLT-HUAWEI-10;Sumaré;Troca de Tecnologia;Problemas Técnicos;Financeiro
Conecta+;Troca de Tecnologia;Hortolândia;20269187122;10/02/2026 00:30:51;Cancelado;14/02/2026 03:30:51;OLT-NOKIA-6;Hortolândia;Troca de Tecnologia;Troca por Concorrente;Telemarketing
Horizon Telecom;Troca de Tecnologia;Americana;20267274491;03/01/2026 17:09:24;Cancelado;08/01/2026 17:09:24;OLT-NOKIA-2;Americana;Troca de Tecnologia;Mudança de Cidade;Retenção
Conecta+;Suporte Wi-Fi;Hortolândia;20266858741;28/12/2025 08:25:59;Cancelado;01/01/2026 13:25:59;OLT-HUAWEI-3;Hortolândia;Suporte Wi-Fi;Problemas Técnicos;Financeiro
Conecta+;Reparo de Fibra;Valinhos;20263830604;23/01/2026 13:48:02;Cancelado;27/01/2026 15:48:02;OLT-HUAWEI-1;Valinhos;Reparo de Fibra;Preço Elevado;Comercial
Horizon Telecom;Mudança de Endereço;Americana;20261897415;17/01/2026 21:41:47;Cancelado;22/01/2026 00:41:47;OLT-NOKIA-10;Americana;Mudança de Endereço;Problemas Técnicos;Comercial
Conecta+;Reparo de Fibra;Sumaré;20267902946;03/02/2026 02:32:20;Cancelado;08/02/2026 08:32:20;OLT-NOKIA-1;Sumaré;Reparo de Fibra;Troca por Concorrente;Retenção
FiberTech;Instalação Nova;Valinhos;20264653237;19/01/2026 05:46:04;Cancelado;26/01/2026 17:46:04;OLT-NOKIA-1;Valinhos;Instalação Nova;Mudança de Cidade;Financeiro
FiberTech;Suporte Wi-Fi;Sumaré;20268329611;06/01/2026 22:03:37;Cancelado;11/01/2026 04:03:37;OLT-ZTE-3;Sumaré;Suporte Wi-Fi;Mudança de Cidade;Telemarketing
Conecta+;Instalação Nova;Campinas;20267091516;19/01/2026 07:53:35;Cancelado;22/01/2026 10:53:35;OLT-NOKIA-9;Campinas;Instalação Nova;Mudança de Cidade;Comercial
Conecta+;Suporte Wi-Fi;Americana;20266417556;07/02/2026 19:56:58;Cancelado;10/02/2026 04:56:58;OLT-HUAWEI-9;Americana;Suporte Wi-Fi;Preço Elevado;Comercial
Conecta+;Suporte Wi-Fi;Valinhos;20263698642;19/01/2026 08:04:34;Cancelado;19/01/2026 14:04:34;OLT-ZTE-10;Valinhos;Suporte Wi-Fi;Problemas Técnicos;Financeiro
Conecta+;Instalação Nova;Americana;20263206695;04/01/2026 07:31:11;Cancelado;09/01/2026 08:31:11;OLT-HUAWEI-9;Americana;Instalação Nova;Preço Elevado;Retenção
Conecta+;Suporte Wi-Fi;Valinhos;20261724351;19/01/2026 15:16:28;Cancelado;21/01/2026 00:16:28;OLT-HUAWEI-7;Valinhos;Suporte Wi-Fi;Problemas Técnicos;Telemarketing
Horizon Telecom;Troca de Tecnologia;Hortolândia;20261125223;22/01/2026 20:08:29;Cancelado;27/01/2026 21:08:29;OLT-ZTE-7;Hortolândia;Troca de Tecnologia;Mudança de Cidade;Financeiro
Conecta+;Troca de Tecnologia;Campinas;20264849122;06/02/2026 09:33:30;Cancelado;09/02/2026 10:33:30;OLT-ZTE-1;Campinas;Troca de Tecnologia;Mudança de Cidade;Comercial
Horizon Telecom;Instalação Nova;Sumaré;20263731757;23/01/2026 03:31:11;Cancelado;24/01/2026 10:31:11;OLT-ZTE-2;Sumaré;Instalação Nova;Preço Elevado;Comercial
Horizon Telecom;Reparo de Fibra;Valinhos;20263185933;04/01/2026 23:01:49;Cancelado;05/01/2026 03:01:49;OLT-HUAWEI-4;Valinhos;Reparo de Fibra;Troca por Concorrente;Retenção
Conecta+;Troca de Tecnologia;Americana;20268421474;01/01/2026 07:32:55;Cancelado;07/01/2026 17:32:55;OLT-HUAWEI-3;Americana;Troca de Tecnologia;Mudança de Cidade;Comercial
FiberTech;Reparo de Fibra;Hortolândia;20268940112;17/01/2026 20:31:11;Cancelado;18/01/2026 21:31:11;OLT-ZTE-3;Hortolândia;Reparo de Fibra;Preço Elevado;Retenção
FiberTech;Mudança de Endereço;Valinhos;20269405511;15/01/2026 02:40:27;Cancelado;16/01/2026 06:40:27;OLT-NOKIA-10;Valinhos;Mudança de Endereço;Mudança de Cidade;Comercial
Horizon Telecom;Suporte Wi-Fi;Hortolândia;20265372917;11/02/2026 11:29:15;Cancelado;17/02/2026 18:29:15;OLT-HUAWEI-7;Hortolândia;Suporte Wi-Fi;Problemas Técnicos;Telemarketing
Conecta+;Reparo de Fibra;Sumaré;20263541325;15/01/2026 17:35:08;Cancelado;16/01/2026 05:35:08;OLT-HUAWEI-6;Sumaré;Reparo de Fibra;Preço Elevado;Financeiro
Horizon Telecom;Mudança de Endereço;Hortolândia;20266838355;13/01/2026 08:39:51;Cancelado;14/01/2026 08:39:51;OLT-ZTE-7;Hortolândia;Mudança de Endereço;Preço Elevado;Retenção
Horizon Telecom;Mudança de Endereço;Campinas;20269279908;28/01/2026 04:33:28;Cancelado;28/01/2026 04:33:28;OLT-NOKIA-10;Campinas;Mudança de Endereço;Preço Elevado;Telemarketing
FiberTech;Troca de Tecnologia;Hortolândia;20264984859;05/02/2026 17:37:27;Cancelado;09/02/2026 00:37:27;OLT-NOKIA-10;Hortolândia;Troca de Tecnologia;Troca por Concorrente;Comercial
Conecta+;Mudança de Endereço;Sumaré;20265517179;11/01/2026 13:31:36;Cancelado;15/01/2026 17:31:36;OLT-NOKIA-7;Sumaré;Mudança de Endereço;Mudança de Cidade;Retenção
FiberTech;Instalação Nova;Americana;20263138265;23/01/2026 23:18:34;Cancelado;27/01/2026 02:18:34;OLT-ZTE-2;Americana;Instalação Nova;Mudança de Cidade;Telemarketing
Horizon Telecom;Mudança de Endereço;Sumaré;20262120463;29/01/2026 19:28:50;Cancelado;30/01/2026 20:28:50;OLT-ZTE-7;Sumaré;Mudança de Endereço;Troca por Concorrente;Retenção
FiberTech;Mudança de Endereço;Paulínia;20269563258;22/01/2026 20:16:18;Cancelado;23/01/2026 20:16:18;OLT-ZTE-5;Paulínia;Mudança de Endereço;Preço Elevado;Financeiro
FiberTech;Instalação Nova;Paulínia;20265063147;01/02/2026 16:59:09;Cancelado;01/02/2026 23:59:09;OLT-ZTE-2;Paulínia;Instalação Nova;Preço Elevado;Retenção
Conecta+;Instalação Nova;Americana;20264938367;10/01/2026 12:40:52;Cancelado;15/01/2026 00:40:52;OLT-HUAWEI-1;Americana;Instalação Nova;Mudança de Cidade;Financeiro
FiberTech;Troca de Tecnologia;Hortolândia;20264565209;30/12/2025 21:52:26;Cancelado;06/01/2026 03:52:26;OLT-HUAWEI-6;Hortolândia;Troca de Tecnologia;Problemas Técnicos;Retenção
Conecta+;Troca de Tecnologia;Campinas;20261244486;31/12/2025 05:17:50;Cancelado;04/01/2026 16:17:50;OLT-NOKIA-4;Campinas;Troca de Tecnologia;Mudança de Cidade;Telemarketing
Horizon Telecom;Instalação Nova;Paulínia;20268943326;24/01/2026 05:05:28;Cancelado;26/01/2026 08:05:28;OLT-ZTE-2;Paulínia;Instalação Nova;Preço Elevado;Comercial
FiberTech;Troca de Tecnologia;Sumaré;20264105578;31/01/2026 08:10:15;Cancelado;05/02/2026 20:10:15;OLT-NOKIA-6;Sumaré;Troca de Tecnologia;Mudança de Cidade;Financeiro
Horizon Telecom;Mudança de Endereço;Sumaré;20265598425;29/01/2026 03:50:05;Cancelado;05/02/2026 12:50:05;OLT-NOKIA-2;Sumaré;Mudança de Endereço;Troca por Concorrente;Retenção
Conecta+;Troca de Tecnologia;Hortolândia;20262334210;09/01/2026 22:08:29;Cancelado;10/01/2026 04:08:29;OLT-NOKIA-5;Hortolândia;Troca de Tecnologia;Mudança de Cidade;Retenção
Horizon Telecom;Mudança de Endereço;Sumaré;20263141517;28/12/2025 22:44:14;Cancelado;01/01/2026 23:44:14;OLT-NOKIA-4;Sumaré;Mudança de Endereço;Mudança de Cidade;Comercial
Horizon Telecom;Mudança de Endereço;Sumaré;20263623167;31/01/2026 09:22:26;Cancelado;03/02/2026 12:22:26;OLT-NOKIA-8;Sumaré;Mudança de Endereço;Problemas Técnicos;Retenção
Horizon Telecom;Troca de Tecnologia;Hortolândia;20268605112;22/01/2026 17:19:01;Cancelado;24/01/2026 23:19:01;OLT-NOKIA-5;Hortolândia;Troca de Tecnologia;Problemas Técnicos;Comercial
FiberTech;Suporte Wi-Fi;Hortolândia;20265463594;12/01/2026 02:57:37;Cancelado;16/01/2026 06:57:37;OLT-HUAWEI-2;Hortolândia;Suporte Wi-Fi;Preço Elevado;Retenção
FiberTech;Mudança de Endereço;Paulínia;20267512038;04/01/2026 14:33:19;Cancelado;05/01/2026 14:33:19;OLT-HUAWEI-7;Paulínia;Mudança de Endereço;Problemas Técnicos;Telemarketing
FiberTech;Reparo de Fibra;Sumaré;20268625949;24/01/2026 03:53:47;Cancelado;27/01/2026 06:53:47;OLT-ZTE-9;Sumaré;Reparo de Fibra;Preço Elevado;Telemarketing
Horizon Telecom;Suporte Wi-Fi;Campinas;20266956779;31/12/2025 10:14:54;Cancelado;02/01/2026 22:14:54;OLT-ZTE-1;Campinas;Suporte Wi-Fi;Troca por Concorrente;Comercial
FiberTech;Troca de Tecnologia;Hortolândia;20266005206;17/01/2026 20:01:56;Cancelado;20/01/2026 06:01:56;OLT-ZTE-4;Hortolândia;Troca de Tecnologia;Preço Elevado;Retenção
Horizon Telecom;Suporte Wi-Fi;Campinas;20266632687;03/01/2026 21:39:06;Cancelado;05/01/2026 06:39:06;OLT-HUAWEI-2;Campinas;Suporte Wi-Fi;Troca por Concorrente;Telemarketing
Horizon Telecom;Suporte Wi-Fi;Sumaré;20268625708;28/01/2026 19:41:49;Cancelado;01/02/2026 07:41:49;OLT-HUAWEI-5;Sumaré;Suporte Wi-Fi;Preço Elevado;Telemarketing
FiberTech;Reparo de Fibra;Americana;20261957755;19/01/2026 13:51:53;Cancelado;22/01/2026 16:51:53;OLT-ZTE-2;Americana;Reparo de Fibra;Mudança de Cidade;Telemarketing
Conecta+;Reparo de Fibra;Sumaré;20265881971;02/01/2026 11:41:23;Cancelado;08/01/2026 11:41:23;OLT-NOKIA-9;Sumaré;Reparo de Fibra;Preço Elevado;Telemarketing
Conecta+;Troca de Tecnologia;Americana;20264698676;30/12/2025 20:58:51;Cancelado;05/01/2026 03:58:51;OLT-ZTE-2;Americana;Troca de Tecnologia;Mudança de Cidade;Financeiro
FiberTech;Reparo de Fibra;Valinhos;20264180311;27/01/2026 07:26:59;Cancelado;27/01/2026 19:26:59;OLT-HUAWEI-2;Valinhos;Reparo de Fibra;Troca por Concorrente;Comercial
Conecta+;Mudança de Endereço;Americana;20269878468;10/01/2026 01:11:34;Cancelado;11/01/2026 12:11:34;OLT-ZTE-1;Americana;Mudança de Endereço;Mudança de Cidade;Retenção
Conecta+;Reparo de Fibra;Americana;20265459942;28/01/2026 20:29:54;Cancelado;05/02/2026 01:29:54;OLT-NOKIA-2;Americana;Reparo de Fibra;Troca por Concorrente;Telemarketing
FiberTech;Mudança de Endereço;Campinas;20261187712;04/02/2026 21:05:45;Cancelado;07/02/2026 04:05:45;OLT-NOKIA-8;Campinas;Mudança de Endereço;Problemas Técnicos;Comercial
Horizon Telecom;Mudança de Endereço;Paulínia;20267961701;06/02/2026 00:55:17;Cancelado;10/02/2026 01:55:17;OLT-HUAWEI-4;Paulínia;Mudança de Endereço;Mudança de Cidade;Comercial
Conecta+;Mudança de Endereço;Campinas;20268550745;22/01/2026 05:06:41;Cancelado;23/01/2026 14:06:41;OLT-ZTE-9;Campinas;Mudança de Endereço;Preço Elevado;Retenção
Horizon Telecom;Troca de Tecnologia;Americana;20261109556;15/01/2026 01:01:14;Cancelado;20/01/2026 12:01:14;OLT-ZTE-4;Americana;Troca de Tecnologia;Preço Elevado;Comercial
Horizon Telecom;Mudança de Endereço;Americana;20267364826;01/02/2026 07:33:33;Cancelado;03/02/2026 07:33:33;OLT-HUAWEI-7;Americana;Mudança de Endereço;Preço Elevado;Retenção
Horizon Telecom;Troca de Tecnologia;Sumaré;20263729540;14/02/2026 19:08:25;Cancelado;18/02/2026 02:08:25;OLT-ZTE-1;Sumaré;Troca de Tecnologia;Troca por Concorrente;Comercial
FiberTech;Mudança de Endereço;Paulínia;20261061177;08/02/2026 23:28:12;Cancelado;09/02/2026 09:28:12;OLT-HUAWEI-6;Paulínia;Mudança de Endereço;Preço Elevado;Retenção
Conecta+;Suporte Wi-Fi;Paulínia;20264502458;02/01/2026 20:20:48;Cancelado;08/01/2026 20:20:48;OLT-ZTE-8;Paulínia;Suporte Wi-Fi;Preço Elevado;Comercial
FiberTech;Suporte Wi-Fi;Americana;20269029061;12/02/2026 13:49:01;Cancelado;12/02/2026 14:49:01;OLT-NOKIA-9;Americana;Suporte Wi-Fi;Mudança de Cidade;Financeiro
Conecta+;Instalação Nova;Paulínia;20268997746;11/01/2026 10:00:23;Cancelado;11/01/2026 18:00:23;OLT-ZTE-5;Paulínia;Instalação Nova;Problemas Técnicos;Telemarketing
Conecta+;Troca de Tecnologia;Hortolândia;20263634698;13/02/2026 08:31:51;Cancelado;15/02/2026 16:31:51;OLT-ZTE-7;Hortolândia;Troca de Tecnologia;Problemas Técnicos;Comercial
Horizon Telecom;Instalação Nova;Hortolândia;20264314733;12/02/2026 15:45:56;Cancelado;14/02/2026 16:45:56;OLT-ZTE-2;Hortolândia;Instalação Nova;Problemas Técnicos;Comercial
Horizon Telecom;Reparo de Fibra;Valinhos;20269255189;08/02/2026 11:14:20;Cancelado;11/02/2026 11:14:20;OLT-ZTE-6;Valinhos;Reparo de Fibra;Mudança de Cidade;Financeiro
Horizon Telecom;Reparo de Fibra;Campinas;20263315832;22/01/2026 01:41:30;Cancelado;26/01/2026 11:41:30;OLT-NOKIA-5;Campinas;Reparo de Fibra;Troca por Concorrente;Comercial
FiberTech;Troca de Tecnologia;Campinas;20267624703;22/01/2026 17:10:39;Cancelado;30/01/2026 01:10:39;OLT-NOKIA-3;Campinas;Troca de Tecnologia;Troca por Concorrente;Retenção
Horizon Telecom;Troca de Tecnologia;Sumaré;20269533779;20/01/2026 09:29:08;Cancelado;26/01/2026 13:29:08;OLT-ZTE-10;Sumaré;Troca de Tecnologia;Problemas Técnicos;Comercial
Horizon Telecom;Suporte Wi-Fi;Americana;20268845492;09/01/2026 00:09:16;Cancelado;13/01/2026 05:09:16;OLT-ZTE-5;Americana;Suporte Wi-Fi;Preço Elevado;Retenção
Horizon Telecom;Instalação Nova;Sumaré;20267251633;10/02/2026 02:30:04;Cancelado;13/02/2026 06:30:04;OLT-NOKIA-5;Sumaré;Instalação Nova;Problemas Técnicos;Telemarketing
